"","week_ending","OH_count_shortages","OH_percentage_shortages","US_count_shortages","US_percentage_shortages"
"1","2020-05-24 00:00:00",210,24.3619489559165,2591,18.0168277588485
"2","2020-05-31 00:00:00",209,23.0429988974642,2566,17.429697052031
"3","2020-06-07 00:00:00",210,22.7765726681128,2666,17.7378576180971
"4","2020-06-14 00:00:00",207,22.1153846153846,2532,16.7427097798056
"5","2020-06-21 00:00:00",216,23.0522945570971,2519,16.6303558460421
"6","2020-06-28 00:00:00",203,21.618743343983,2549,16.8195315077532
"7","2020-07-05 00:00:00",213,22.5396825396825,2593,17.0963275532406
"8","2020-07-12 00:00:00",218,23.0200633579725,2669,17.6287978863937
"9","2020-07-19 00:00:00",214,22.59767687434,2735,18.0147543143196
"10","2020-07-26 00:00:00",219,23.0526315789474,2765,18.2183567239902
"11","2020-08-02 00:00:00",222,23.3930453108535,2791,18.4236583272823
"12","2020-08-09 00:00:00",227,23.9199157007376,2855,18.8262446422684
"13","2020-08-16 00:00:00",237,25.026399155227,2859,18.8364738437212
"14","2020-08-23 00:00:00",244,25.7112750263435,2913,19.2150395778364
"15","2020-08-30 00:00:00",258,27.2151898734177,2937,19.3720730822505
"16","2020-09-06 00:00:00",254,26.7650158061117,2971,19.5743839768085
"17","2020-09-13 00:00:00",259,27.2631578947368,2997,19.7430830039526
"18","2020-09-20 00:00:00",261,27.4447949526814,2917,19.2236720706472
"19","2020-09-27 00:00:00",265,27.8654048370137,2904,19.1417836662053
"20","2020-10-04 00:00:00",263,27.6550998948475,2877,18.9675632911392
"21","2020-10-11 00:00:00",270,28.391167192429,2901,19.1283133324542
"22","2020-10-18 00:00:00",270,28.4210526315789,2946,19.4288729143309
"23","2020-10-25 00:00:00",259,27.2918861959958,2946,19.4404117724693
"24","2020-11-01 00:00:00",254,26.8215417106653,3000,19.8189865891524
"25","2020-11-08 00:00:00",267,28.194297782471,3048,20.1241251815661
"26","2020-11-15 00:00:00",265,28.101802757158,3124,20.6449907480835
"27","2020-11-22 00:00:00",267,28.2241014799154,3114,20.5870686235621
"28","2020-11-29 00:00:00",282,29.9363057324841,3046,20.3120832221926
"29","2020-12-06 00:00:00",296,31.3227513227513,3146,20.8510074231177
"30","2020-12-13 00:00:00",284,30.0847457627119,3056,20.2317113538563
"31","2020-12-20 00:00:00",299,31.6067653276956,3075,20.3588453389831
"32","2020-12-27 00:00:00",287,30.4025423728814,3015,19.9933687002653
"33","2021-01-03 00:00:00",270,28.8153681963714,2973,19.788338658147
"34","2021-01-10 00:00:00",271,28.7685774946921,2935,19.4280796981532
"35","2021-01-17 00:00:00",251,26.6737513283741,2793,18.4844473858372
"36","2021-01-24 00:00:00",247,26.1375661375661,2762,18.2792852415619
"37","2021-01-31 00:00:00",250,26.4830508474576,2713,17.977602544563
"38","2021-02-07 00:00:00",245,25.8985200845666,2645,17.4968578421645
"39","2021-02-14 00:00:00",242,25.5543822597677,2578,17.0480095225499
"40","2021-02-21 00:00:00",237,25.1059322033898,2526,16.7406720127245
"41","2021-02-28 00:00:00",227,24.0721102863203,2426,16.1442736407799
"42","2021-03-07 00:00:00",230,24.2872228088701,2419,16.0039695666556
"43","2021-03-14 00:00:00",231,24.3670886075949,2398,15.8818464798993
"44","2021-03-21 00:00:00",232,24.5243128964059,2401,15.8985564825851
"45","2021-03-28 00:00:00",238,25.1054852320675,2442,16.1775422325273
"46","2021-04-04 00:00:00",232,24.6023329798515,2464,16.3720930232558
"47","2021-04-11 00:00:00",235,24.8152059134108,2530,16.7649592472334
"48","2021-04-18 00:00:00",234,24.7096092925026,2551,16.9130809520652
"49","2021-04-25 00:00:00",228,24.1781548250265,2613,17.3229912490056
"50","2021-05-02 00:00:00",248,26.271186440678,2635,17.4850696748507
"51","2021-05-09 00:00:00",237,25.0528541226216,2652,17.5862068965517
"52","2021-05-16 00:00:00",249,26.3771186440678,2699,17.8907596447037
"53","2021-05-23 00:00:00",251,26.5608465608466,2684,17.7913297096646
"54","2021-05-30 00:00:00",253,26.8862911795962,2697,17.9680213191206
"55","2021-06-06 00:00:00",257,27.253446447508,2674,17.7391535093539
"56","2021-06-13 00:00:00",262,27.7836691410392,2677,17.7637690776377
"57","2021-06-20 00:00:00",257,27.2823779193206,2687,17.8230299814274
"58","2021-06-27 00:00:00",267,28.4042553191489,2706,17.9776773850651
"59","2021-07-04 00:00:00",256,27.2051009564293,2704,17.9655836821474
"60","2021-07-11 00:00:00",252,26.7515923566879,2738,18.196318202964
"61","2021-07-18 00:00:00",248,26.3549415515409,2786,18.5030218503022
"62","2021-07-25 00:00:00",251,26.7876200640342,2794,18.6615014694096
"63","2021-08-01 00:00:00",249,26.6025641025641,2898,19.3109882055041
